date,time,route,route_type,origin,destination,flight_number,airline,status
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,AA1161,American Airlines,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,UA1634,United Airlines,scheduled
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,SN9001,Brussels Airlines,scheduled
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,OS7708,Austrian,scheduled
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,NH7603,ANA,scheduled
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,LH7469,Lufthansa,scheduled
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,AC4855,Air Canada,scheduled
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,AA1015,American Airlines,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,G36074,Gol,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,EI7150,Aer Lingus,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,CX7599,Cathay Pacific,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,Y42128,Volaris,scheduled
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,G36277,Gol,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,EI7169,Aer Lingus,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,F91342,Frontier Airlines,scheduled
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,AA1082,American Airlines,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,AA2999,American Airlines,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,JL7343,Japan Airlines,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,EI7506,Aer Lingus,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,UA380,United Airlines,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,OS7720,Austrian,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,NH7709,ANA,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,AC4867,Air Canada,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,AA1315,American Airlines,landed
2025-12-30,00:12:53,DFW to Chicago,domestic,DFW,ORD,EI7138,Aer Lingus,landed
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,BA2438,British Airways,active
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,BA2437,British Airways,active
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,GF4207,Gulf Air,active
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,FJ5084,Fiji Airways,active
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,BA2444,British Airways,active
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,Y42604,Volaris,active
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,QR9132,Qatar Airways,landed
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,QF3249,Qantas,landed
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,GF6417,Gulf Air,landed
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,BA2443,British Airways,landed
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,AY4082,Finnair,landed
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,TK8632,Turkish Airlines,scheduled
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,LH7471,Lufthansa,scheduled
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,AC4853,Air Canada,scheduled
2025-12-30,21:02:06,DFW to Chicago,domestic,DFW,ORD,QR8635,Qatar Airways,landed
